SL. No.,Category,States/UTs/Cities,Murder - Incidence (I),Murder - Volume (V),Culpable Homicide Not Amounting to Murder - Incidence (I),Culpable Homicide Not Amounting to Murder - Volume (V),Rape - Incidence (I),Rape - Volume (V),Kidnapping & Abduction - Incidence (I),Kidnapping & Abduction - Volume (V),Dacoity - Incidence (I),Dacoity - Volume (V),Robbery - Incidence (I),Robbery - Volume (V),Burglary - Incidence (I),Burglary - Volume (V),Theft - Incidence (I),Theft - Volume (V),Riots - Incidence (I),Riots - Volume (V),Criminal Breach of Trust - Incidence (I),Criminal Breach of Trust - Volume (V),Cheating - Incidence (I),Cheating - Volume (V),Counterfeiting - Incidence (I),Counterfeiting - Volume (V),Other IPC Crimes - Incidence (I),Other IPC Crimes - Volume (V),Total Cognizable Crimes Under IPC - Incidence (I),Total Cognizable Crimes Under IPC - Volume (V)
Total (All India),Total (All India),Total (All India),28513.0,3.6,3721.0,0.5,8559.0,1.1,15251.0,2.0,10036.0,1.3,22917.0,2.9,125466,16.1,310575,39.7,90789,11.6,17847.0,2.3,22115.0,2.8,1653.0,0.2,749550,95.9,1406992,180.1
1,City,Ahmedabad,81.0,3.4,1.0,0.0,13.0,0.6,109.0,4.6,8.0,0.3,75.0,3.2,772,32.8,3404,144.5,267,11.3,122.0,5.2,188.0,8.0,26.0,1.1,5971,253.5,11037,468.6
2,City,Bangalore,108.0,3.3,3.0,0.1,46.0,1.4,88.0,2.7,13.0,0.4,246.0,7.5,1744,53.0,7144,217.1,194,5.9,219.0,6.7,790.0,24.0,173.0,5.3,11049,335.8,21817,663.1
3,City,Bombay,285.0,2.9,2.0,0.0,85.0,0.9,231.0,2.3,65.0,0.7,762.0,7.6,2361,23.7,15359,153.9,196,2.0,933.0,9.4,1166.0,11.7,63.0,0.6,14510,145.4,36018,361.0
4,City,Calcutta,69.0,2.1,10.0,0.3,19.0,0.6,122.0,3.6,30.0,0.9,188.0,5.6,455,13.5,6763,201.1,549,16.3,314.0,9.3,390.0,11.6,35.0,1.0,4275,127.1,13219,393.1
5,City,Delhi,259.0,3.4,159.0,2.1,88.0,1.2,734.0,9.7,22.0,0.3,172.0,2.3,1357,17.9,9709,128.0,147,1.9,422.0,5.6,794.0,10.5,28.0,0.4,9946,131.2,23837,314.4
6,City,Hyderabad,71.0,2.9,,0.0,23.0,0.9,75.0,3.1,9.0,0.4,99.0,4.1,1265,52.1,3109,128.2,226,9.3,82.0,3.4,325.0,13.4,43.0,1.8,2171,89.5,7498,309.1
7,City,Jaipur,36.0,2.8,1.0,0.1,11.0,0.8,106.0,8.2,2.0,0.2,45.0,3.5,378,29.1,1271,97.8,762,58.6,134.0,10.3,258.0,19.8,15.0,1.2,2648,203.7,5667,435.9
8,City,Kanpur,492.0,28.6,36.0,2.1,26.0,1.5,148.0,8.6,81.0,4.7,172.0,10.0,568,33.0,1914,111.1,228,13.2,238.0,13.8,256.0,14.9,2.0,0.1,3070,178.3,7231,419.9
9,City,Lucknow,68.0,6.8,20.0,2.0,19.0,1.9,82.0,8.2,27.0,2.7,87.0,8.7,504,50.6,1796,180.5,155,15.6,205.0,20.6,233.0,23.4,14.0,1.4,208,20.9,3418,343.5
10,City,Madras,61.0,1.6,3.0,0.1,23.0,0.6,40.0,1.0,2.0,0.1,41.0,1.0,302,7.7,3838,98.1,200,5.1,209.0,5.3,664.0,17.0,167.0,4.3,8277,211.5,13827,353.3
11,City,Nagpur,102.0,6.8,,0.0,45.0,3.0,75.0,5.0,15.0,1.0,255.0,17.1,724,48.4,2121,141.9,162,10.8,92.0,6.2,119.0,8.0,20.0,1.3,5053,338.1,8783,587.6
12,City,Pune,70.0,4.8,,0.0,34.0,2.3,45.0,3.1,6.0,0.4,137.0,9.3,736,50.0,2531,171.8,168,11.4,105.0,7.1,193.0,13.1,12.0,0.8,5126,347.9,9163,621.9
Total (Cities),City,Total (Cities),1702.0,4.3,235.0,0.6,432.0,1.1,1855.0,4.6,280.0,0.7,2279.0,5.7,11166,27.9,58959,147.8,3254,8.2,3075.0,7.7,5376.0,13.5,598.0,1.5,72304,181.2,161515,404.9
